,termbir10,birthwt10,prenatal10,teenbir10,leadtest10
0,85.28,87.45,51.95,55.05,386.0
2,84.02,87.7,63.93,67.57,200.0
4,94.59,94.59,73.87,46.51,96.0
5,83.83,84.37,56.6,48.92,240.0
6,80.92,88.82,57.24,57.64,198.0
7,87.04,92.59,63.89,50.63,146.0
8,94.16,94.16,59.09,88.89,137.0
9,85.92,87.32,52.82,71.81,109.0
10,83.02,83.02,47.17,48.87,240.0
13,85.45,85.45,63.64,21.13,110.0
15,87.5,80.36,69.64,65.22,49.0
16,85.05,85.05,62.62,89.51,123.0
17,90.37,94.5,56.42,49.52,164.0
18,86.13,88.32,56.2,9.69,84.0
19,87.23,87.94,60.99,53.66,54.0
20,92.37,91.6,62.6,77.59,113.0
21,78.42,85.61,49.64,42.93,203.0
23,87.11,87.8,52.26,80.85,479.0
25,83.05,86.44,68.64,25.26,64.0
26,83.63,85.38,50.29,81.01,377.0
27,90.0,91.0,66.5,58.82,156.0
28,85.84,88.05,57.96,15.84,156.0
29,92.68,92.07,74.39,30.0,232.0
30,85.83,86.61,66.14,38.81,145.0
32,85.71,79.37,45.24,53.74,114.0
33,87.5,92.5,61.67,78.82,65.0
34,80.43,86.81,58.3,69.84,203.0
36,89.55,92.54,64.18,10.87,90.0
37,91.53,90.68,63.56,3.12,239.0
38,85.89,84.05,58.28,15.63,170.0
40,89.58,91.86,50.81,87.06,410.0
41,83.02,83.02,50.94,67.96,202.0
42,79.29,84.29,54.29,47.06,88.0
44,85.42,82.64,48.61,99.17,183.0
46,89.04,84.93,53.42,65.48,88.0
48,85.76,87.03,50.0,82.35,506.0
49,82.05,83.76,55.56,53.57,100.0
51,86.78,92.56,47.11,64.89,208.0
53,87.82,87.18,53.85,74.18,171.0
54,84.04,85.11,61.7,70.42,199.0
55,88.3,88.3,60.82,97.37,85.0
