,Q1S,Q2S,Q3S,Q4S,Q5S,Q6S,Q7S,Q8S,Q9S,Q10S,Q11S,Q12S,Q13S,Q14S,Q15S,Q16S,Q17S,Q18S,Q19S,Q20S,Q21S,Q22S,Q23S,Q24S,Q25S,Q26S,Q27S,Q28S,Q29S,Q30S,Q31S,Q32S,age,gender,engnat
0,3,4,5,4,5,5,4,4,0,0,0,0,3,4,0,3,5,3,1,3,4,1,1,2,-1,2,4,4,3,2,5,4,22,2,1
1,1,1,5,1,5,3,-1,4,3,3,1,1,3,5,-3,0,1,3,-1,1,3,3,-1,-1,1,-1,1,5,3,1,1,3,17,1,2
2,5,2,5,2,5,5,4,5,2,3,3,1,3,5,5,4,5,5,5,5,4,3,4,4,5,5,2,4,5,4,5,5,37,1,1
3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,3,5,3,5,5,5,5,5,5,5,3,3,5,3,17,1,2
4,0,2,3,2,4,4,2,5,3,5,3,5,4,5,3,3,1,4,0,4,5,4,3,4,0,4,3,5,3,4,4,3,20,1,1
5,1,4,5,4,5,3,1,4,2,5,4,5,3,5,4,5,5,4,3,5,5,3,2,3,1,3,3,5,4,5,4,4,34,1,1
6,3,3,5,5,3,5,5,5,5,5,5,5,5,5,1,3,3,3,1,3,5,5,3,5,0,3,3,1,3,5,3,1,26,1,2
7,2,3,3,5,3,3,3,2,1,3,2,3,5,5,-1,3,5,2,1,2,5,3,-1,2,-3,0,2,5,4,2,4,3,26,2,2
8,5,5,5,3,4,3,1,1,5,1,3,5,-3,3,-1,-1,3,3,3,3,3,-1,1,3,-1,1,3,1,3,1,5,3,13,2,1
9,1,5,5,2,3,3,3,5,2,3,4,3,5,5,3,3,4,5,2,2,5,3,3,2,3,3,4,5,4,3,4,3,20,1,1
10,4,3,5,5,3,4,3,4,3,1,-2,0,1,4,0,-1,5,2,2,2,4,0,1,2,0,2,1,2,3,3,3,4,18,2,1
11,3,0,4,4,4,5,5,5,1,1,0,3,-2,5,0,2,3,4,2,3,3,1,2,4,0,3,2,4,2,2,4,4,38,2,1
12,0,1,5,0,5,3,4,3,3,4,3,3,4,5,3,0,3,5,2,4,5,0,3,3,0,2,3,5,5,3,5,3,28,3,1
13,5,3,3,3,5,5,5,3,3,5,3,3,1,3,-1,3,5,5,5,3,3,3,3,5,3,3,1,1,5,3,5,5,60,0,1
14,4,5,4,1,3,4,2,3,4,5,4,4,1,5,1,1,5,5,5,4,3,1,4,3,4,5,3,2,3,2,5,5,60,2,1
15,1,1,5,1,5,3,5,5,5,3,3,5,3,5,-1,-1,3,5,5,3,5,5,1,5,4,5,1,5,1,3,1,1,23,1,1
16,3,5,5,1,3,5,1,3,5,5,3,3,5,5,1,3,5,5,1,5,5,5,3,5,1,5,1,5,5,5,5,5,25,1,1
17,4,4,5,4,1,4,4,5,2,3,3,2,5,5,1,3,5,5,0,4,5,4,2,3,-1,2,2,5,5,4,5,2,28,1,1
18,1,4,4,4,5,5,3,1,4,5,5,5,5,5,1,3,4,5,5,2,5,5,2,1,0,5,3,5,4,4,4,3,23,1,2
19,0,1,4,5,5,4,3,4,3,3,3,4,4,5,0,2,4,2,4,3,5,3,5,2,-1,3,3,3,2,3,4,3,25,1,2
20,5,4,4,4,5,5,3,4,5,5,4,2,4,5,0,3,5,4,0,2,0,0,5,3,0,3,3,4,4,3,4,3,20,3,1
21,5,5,5,4,5,4,5,4,5,5,5,3,3,5,0,1,5,3,3,5,3,5,2,5,4,5,1,4,3,3,5,5,34,1,1
22,4,3,5,3,3,0,1,2,0,3,2,1,2,3,0,0,5,4,2,3,5,-1,1,0,-3,3,3,4,4,3,3,5,17,2,1
23,1,2,3,0,3,3,3,3,3,3,3,4,5,5,2,3,3,2,1,4,4,4,3,2,0,2,1,4,1,3,1,1,22,1,2
24,2,3,4,5,2,4,2,2,0,1,3,5,4,5,1,3,5,3,0,1,3,1,3,2,-2,2,2,4,0,1,2,2,19,2,2
25,1,5,5,1,5,5,3,5,3,5,3,3,5,3,-1,1,5,5,1,5,5,-1,3,5,1,3,1,3,3,1,3,3,22,1,1
26,1,3,5,4,3,3,1,0,2,3,2,4,5,5,3,4,3,3,0,2,5,5,3,3,1,4,3,4,1,5,4,0,22,1,2
27,5,5,4,4,4,4,2,3,4,2,2,0,0,4,-2,-1,5,4,1,2,1,0,0,1,2,1,3,3,5,2,3,5,16,2,1
28,0,1,2,3,1,2,1,-1,2,1,1,2,2,5,-1,1,-2,1,-1,1,-1,1,1,2,1,2,2,0,1,2,2,0,15,2,2
29,5,5,4,3,5,4,3,5,5,5,4,5,3,5,2,2,5,5,4,4,4,1,2,5,2,4,3,4,3,2,4,4,14,1,1
30,0,0,2,0,0,2,0,1,1,3,1,3,4,5,0,0,3,1,0,2,0,1,1,0,3,3,3,3,0,2,0,0,17,1,2
31,5,3,5,3,5,4,2,4,3,2,3,2,4,5,1,3,4,4,2,4,5,4,2,5,2,5,3,4,0,4,5,4,20,1,1
32,3,2,3,5,3,3,3,3,5,3,0,1,5,5,1,1,5,3,5,3,3,1,-1,1,1,5,1,2,1,3,4,5,31,2,1
33,3,5,4,4,5,4,2,4,5,5,4,4,3,5,1,2,5,5,5,2,4,4,4,2,3,4,3,5,4,5,5,5,29,1,1
34,4,3,5,4,5,4,4,4,5,4,4,5,1,5,1,3,5,4,5,4,3,2,3,5,1,4,4,4,5,4,5,3,34,1,1
35,3,5,5,4,5,4,4,5,4,2,1,1,3,5,-1,3,5,5,1,5,5,3,2,1,1,3,2,5,4,3,5,5,23,3,1
36,1,5,4,1,3,3,2,0,5,4,3,4,2,4,0,0,4,2,1,4,4,4,2,3,1,4,2,4,1,2,0,1,20,1,1
37,1,1,5,5,5,3,1,-1,3,3,3,1,3,3,1,1,5,2,1,3,3,1,3,1,0,3,1,1,1,-1,5,3,32,2,2
38,4,5,5,3,5,5,2,1,3,5,1,3,5,5,1,3,5,4,3,4,5,4,2,2,0,3,3,5,3,3,5,5,17,1,1
39,2,-1,3,2,5,4,2,1,3,4,5,3,5,5,2,1,3,5,2,3,5,2,1,3,1,5,1,5,2,5,5,2,18,1,2
40,2,3,5,2,5,4,4,3,1,1,1,0,0,4,-1,1,4,2,3,5,2,-1,1,3,-1,2,2,3,1,2,3,2,39,2,1
41,4,1,4,4,2,4,2,3,1,3,0,2,2,5,1,3,4,2,3,3,3,2,-1,1,4,4,2,3,3,2,4,1,23,2,2
42,1,3,3,3,5,5,1,3,3,3,3,3,3,5,-5,1,5,3,1,1,3,3,1,3,3,3,1,5,1,1,-1,3,18,2,1
43,2,5,5,4,4,3,2,3,2,2,1,3,4,5,1,3,4,2,2,4,3,1,2,3,0,3,0,4,4,2,1,4,22,2,1
44,4,3,4,4,5,4,2,4,3,1,2,3,1,4,0,2,4,1,-1,4,2,1,2,3,3,2,5,4,1,3,3,3,27,2,1
45,5,3,5,3,5,4,3,5,3,4,4,4,4,5,2,4,5,5,5,4,4,3,2,4,2,4,4,5,3,4,4,4,31,1,1
46,5,5,5,5,5,4,3,5,4,3,3,3,5,4,-1,1,5,3,3,5,3,3,2,3,2,3,2,3,2,1,3,4,23,2,1
47,0,5,2,4,2,3,0,0,-2,2,1,0,2,4,0,1,5,2,2,0,0,0,2,1,-1,2,3,3,3,1,2,2,20,2,1
48,2,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,2,0,3,2,4,0,72,2,1
49,3,-1,5,3,5,5,1,3,-1,-1,1,1,1,5,-1,1,1,5,-3,1,3,3,3,5,1,-1,1,1,3,3,5,1,24,2,1
50,3,0,4,3,4,2,3,1,3,5,2,3,5,5,3,3,1,4,2,1,5,4,3,2,-1,3,3,5,4,5,3,3,24,1,2
51,4,3,4,1,5,4,2,2,2,1,3,3,4,5,1,3,3,1,3,3,4,1,2,2,-1,3,3,3,1,4,4,0,28,1,2
52,3,3,3,3,5,4,1,3,5,5,5,3,3,5,4,2,2,1,1,2,3,1,3,3,2,1,1,4,3,4,3,0,30,1,2
53,5,2,5,2,5,4,3,2,1,1,1,2,2,4,0,1,5,4,1,5,1,-1,-1,2,0,1,1,3,2,0,4,1,41,2,1
54,1,3,5,2,5,3,1,3,1,1,2,4,4,5,2,3,5,4,2,4,4,2,2,5,-1,4,2,4,4,5,4,3,49,1,1
55,4,5,5,4,5,4,2,5,2,2,2,1,4,4,-1,1,5,3,3,4,3,2,1,2,0,3,3,4,5,2,5,3,31,2,1
56,3,5,5,3,5,5,3,3,4,2,3,1,2,5,0,3,5,5,4,3,3,1,3,4,3,4,3,5,5,2,5,4,23,1,1
57,3,5,3,5,5,5,3,5,2,1,3,3,3,5,-1,3,5,3,3,5,3,1,1,5,-3,-1,5,3,5,5,5,5,35,2,1
58,4,5,5,4,4,4,2,1,0,-1,2,2,2,5,0,0,5,4,0,3,3,0,1,1,1,2,4,5,5,2,4,5,16,2,1
59,4,3,4,5,5,5,5,4,1,2,2,4,4,4,3,4,5,5,2,4,5,0,2,4,2,3,3,2,3,3,4,5,53,1,1
60,5,3,4,4,5,5,4,4,2,5,3,3,0,4,0,1,5,3,3,5,2,1,2,4,0,4,3,2,4,3,3,3,51,2,1
61,3,4,5,5,5,4,5,1,5,5,5,5,3,5,1,3,5,5,3,2,5,2,4,2,2,5,3,5,3,3,5,3,17,1,2
62,5,3,5,5,5,5,3,5,1,1,1,1,1,3,-3,3,5,3,5,3,3,1,5,3,1,1,-1,3,3,3,5,3,34,2,1
63,3,3,5,4,5,3,5,5,4,2,3,1,2,4,0,-1,4,5,1,4,4,2,5,2,0,-1,3,3,4,2,4,0,27,2,1
64,3,3,5,3,5,5,4,4,4,3,3,3,5,5,3,4,4,3,1,4,4,3,2,5,3,5,4,5,4,3,5,3,23,1,1
65,4,5,5,5,5,4,2,3,3,5,5,5,5,5,0,4,5,4,3,3,5,3,4,4,4,4,5,4,4,4,3,5,22,2,1
66,2,5,5,5,5,5,3,3,5,5,4,3,3,5,3,2,5,3,3,1,4,1,2,4,0,5,4,5,4,5,5,2,35,1,2
67,2,4,5,3,5,5,4,3,0,0,2,1,1,4,0,2,5,0,0,3,1,1,1,3,0,2,5,5,4,3,5,4,26,2,1
68,0,4,5,2,5,4,2,2,2,1,1,1,4,4,0,1,4,4,3,2,4,3,3,3,-1,4,2,5,3,3,5,4,15,2,1
69,1,3,4,2,4,3,3,-1,2,4,4,4,5,5,0,2,3,3,2,3,4,1,4,4,2,3,3,0,0,3,3,1,49,1,2
70,1,-1,5,0,3,3,3,3,1,3,3,3,4,5,1,2,2,2,3,1,3,1,2,3,1,3,3,5,1,1,1,1,24,1,2
71,1,5,4,3,3,5,1,0,3,3,2,2,3,5,5,3,3,3,-1,3,5,3,1,1,1,3,0,5,4,0,1,1,48,1,1
72,1,-1,1,3,1,1,1,3,3,5,3,3,5,5,3,3,2,3,1,1,5,5,3,5,1,3,1,5,1,5,5,1,18,1,1
73,2,4,5,4,5,4,3,4,4,5,4,4,5,5,4,4,5,2,4,4,5,5,2,3,0,3,3,5,2,5,3,2,34,1,1
74,3,1,5,3,1,2,3,2,0,0,3,1,3,5,2,3,4,3,0,1,4,3,3,0,1,3,2,5,4,1,3,2,15,1,1
75,0,2,5,3,4,5,2,4,2,3,2,2,1,4,0,0,4,0,1,0,2,0,4,2,0,2,4,4,1,1,2,3,19,2,1
76,5,4,5,3,5,4,4,2,5,4,2,5,3,4,1,1,5,4,2,5,4,0,3,5,1,5,3,3,5,2,5,5,48,2,1
77,0,3,2,1,4,0,4,4,0,1,3,4,0,5,0,2,-1,2,1,2,1,1,1,3,1,2,1,-1,-1,0,1,0,22,3,2
78,2,2,0,5,5,4,3,4,-1,3,3,3,2,3,-1,1,3,3,3,1,0,-5,0,1,0,-1,1,4,-1,4,3,2,19,2,1
79,3,5,5,4,5,5,3,5,4,4,4,5,4,5,1,1,5,3,4,5,5,4,3,4,2,4,3,4,4,5,4,5,27,1,1
80,2,1,3,2,3,0,-1,4,0,3,3,3,5,5,0,0,1,1,-1,3,5,4,0,1,-2,5,2,3,1,2,4,-2,22,1,2
