,Complexity,In-House Services Acute Med/Surg,In-House Services Acute Mental Health,In-House Services Intensive Care Unit,In-House Services Emergency Dept,In-House Services Nursing Home Unit,Joint  Commission Accreditation,CARF Accreditation,Acute Inpatient Med Surg Hospital Admissions,"Acute Inpatient Med Surg Hospital Admissions per 1,000 Uniques", Acute Inpatient Med Surg ALOS ,Acute Inpatient Mental Health Hospital Admissions,"Acute Inpatient Mental Health Hospital Admissions per 1,000 Uniques",Acute Inpatient Mental Health ALOS,Total Outpatient Visits,Unique Patients,"Medical Center Staffing MD FTEE per 1,000 Uniques","Medical Center Staffing RN FTEE per 1,000 Uniques","Medical Center Staffing Total FTEE per 1,000 Uniques","Registered Nurses
FTEE",Rate/1000 Unique Pts,Total FTEE,"Total FTEE per 1,000 Uniques"
0,2,1,1,1,1,1,1,0,1438.0,37.2,7.9,295.0,7.6,7.0,335016,38610,64.6,5.5,1.8,189.3,4.9,1096.5,28.4
1,2,1,1,1,1,0,1,0,2126.0,87.5,6.1,283.0,11.6,8.4,190000,24305,47.4,8.5,2.3,113.3,4.7,672.4,27.66
2,1,1,1,1,1,1,1,1,6870.0,108.2,6.0,2054.0,32.3,18.1,668014,63522,176.5,38.1,3.4,620.5,9.8,3128.3,49.25
3,2,1,1,1,1,0,1,1,2693.0,85.7,5.0,468.0,14.9,8.7,307351,31441,49.9,18.1,2.2,156.9,5.0,922.1,29.33
4,1,1,1,1,1,1,1,1,3715.0,66.9,7.1,785.0,14.1,13.7,589628,55540,105.8,68.0,3.1,354.3,6.4,1928.5,34.72
5,2,1,1,1,1,1,1,1,2095.0,51.1,6.2,420.0,10.2,10.0,319582,40992,64.0,19.0,2.0,221.2,5.4,1199.8,29.27
6,1,1,1,1,1,1,1,1,4037.0,73.6,7.3,769.0,14.0,10.1,449636,54850,79.4,25.6,1.9,303.8,5.5,1756.8,32.03
7,1,1,1,1,1,1,1,1,3689.0,74.1,6.4,333.0,6.7,16.7,413709,49783,75.2,16.6,1.8,257.1,5.2,1287.0,25.85
8,1,1,1,1,1,1,1,1,4515.0,178.4,7.3,480.0,19.0,6.6,301371,25310,106.8,28.3,5.3,279.7,11.1,1603.3,63.35
9,1,1,1,1,1,1,1,1,2749.0,47.0,6.2,1093.0,18.7,13.7,613164,58471,174.8,17.8,3.3,460.8,7.9,2830.1,48.4
10,3,1,1,0,0,1,1,1,751.0,30.3,4.3,361.0,14.6,16.7,317459,24758,68.9,5.4,3.0,201.8,8.2,1521.9,61.47
11,1,1,1,1,1,1,1,1,8436.0,161.9,6.0,1428.0,27.4,6.9,698729,52113,196.4,41.6,4.6,634.0,12.2,3405.9,65.36
12,2,1,1,1,1,1,1,1,3119.0,93.0,6.3,359.0,10.7,17.2,323393,33553,92.4,9.7,3.0,254.9,7.6,1635.2,48.73
13,2,1,1,1,1,1,1,0,2512.0,126.0,4.7,233.0,11.7,6.4,217334,19938,40.3,2.6,2.2,129.5,6.5,692.1,34.71
14,3,1,1,0,0,1,1,1,135.0,6.6,2.8,800.0,39.0,30.4,172939,20512,33.8,1.0,1.7,150.5,7.3,1257.5,61.3
15,2,1,1,1,1,1,1,1,1633.0,38.4,4.0,506.0,11.9,14.0,397484,42482,55.9,4.6,1.4,169.2,4.0,1220.0,28.72
16,1,1,1,1,1,1,1,1,3900.0,70.4,7.1,821.0,14.8,13.2,473093,55397,78.2,69.1,2.7,307.4,5.5,1808.7,32.65
17,1,1,1,1,1,1,1,1,6668.0,111.7,6.3,517.0,8.7,4.1,521635,59700,97.9,37.6,2.3,633.7,10.6,2760.7,46.24
18,2,1,1,1,1,1,1,1,2127.0,51.3,3.8,345.0,8.3,8.3,359303,41498,69.7,3.9,1.8,151.3,3.6,1059.4,25.53
19,1,1,1,1,1,1,1,1,6025.0,115.6,5.4,725.0,13.9,5.2,593942,52111,85.4,59.5,2.8,536.4,10.3,2688.4,51.59
20,2,1,1,1,1,1,1,1,2282.0,70.4,5.2,1048.0,32.3,5.1,360687,32421,62.2,0.0,1.9,217.8,6.7,1478.5,45.6
21,1,1,1,1,1,1,1,1,5179.0,93.6,5.5,929.0,16.8,8.3,544557,55302,148.6,18.8,3.0,422.0,7.6,2032.4,36.75
22,1,1,1,1,1,1,1,0,5377.0,108.8,6.0,904.0,18.3,9.1,415791,49412,57.7,78.0,2.7,415.3,8.4,1983.8,40.15
23,3,1,1,1,1,1,1,0,1768.0,39.2,5.4,880.0,19.5,6.4,350728,45140,59.9,4.4,1.4,167.0,3.7,900.1,19.94
24,2,1,1,1,1,1,1,1,1265.0,39.3,10.6,913.0,28.4,10.9,340876,32172,82.9,2.8,2.7,222.4,6.9,1364.5,42.41
25,2,1,1,1,1,1,1,1,4020.0,123.7,6.3,618.0,19.0,8.4,255632,32511,82.3,5.1,2.7,287.2,8.8,1234.5,37.97
26,1,1,1,1,1,1,1,1,4986.0,115.0,5.6,569.0,13.1,8.2,412100,43345,107.3,31.9,3.2,433.1,10.0,2016.9,46.53
27,2,1,1,1,1,1,1,0,3422.0,102.2,6.6,575.0,17.2,13.7,312422,33492,79.2,6.7,2.6,280.4,8.4,1457.0,43.5
28,2,1,1,1,1,1,1,1,1499.0,21.9,6.3,715.0,10.4,9.2,441900,68558,132.3,6.4,2.0,280.7,4.1,1683.4,24.55
29,1,1,1,1,1,1,1,1,5403.0,78.7,6.8,683.0,10.0,11.4,725336,68612,150.0,48.4,2.9,415.2,6.1,2263.5,32.99
30,1,1,1,1,1,1,1,1,3827.0,98.8,5.1,1231.0,31.8,7.8,391883,38737,90.1,16.6,2.8,334.4,8.6,1992.1,51.43
31,1,1,1,1,1,1,1,0,3591.0,80.6,5.2,506.0,11.4,7.6,508147,44579,74.0,26.7,2.3,247.2,5.5,1257.4,28.21
32,1,1,1,1,1,1,1,1,4457.0,71.0,6.3,464.0,7.4,7.9,673841,62739,103.1,8.1,1.8,304.0,4.8,1572.7,25.07
33,2,1,1,1,1,1,1,1,856.0,21.6,8.4,807.0,20.3,11.1,369924,39680,65.5,1.3,1.7,175.8,4.4,1420.4,35.8
34,1,1,1,1,1,1,1,1,8163.0,86.5,4.8,1007.0,10.7,8.4,1119056,94409,236.8,6.7,2.6,495.6,5.2,2993.8,31.71
35,1,1,1,1,1,1,1,1,4329.0,81.5,6.0,863.0,16.2,9.0,612794,53127,148.5,21.7,3.2,419.7,7.9,2329.9,43.86
36,1,1,1,1,1,1,1,1,5042.0,80.6,5.6,1201.0,19.2,6.3,582374,62544,148.3,7.4,2.5,303.1,4.8,1902.1,30.41
37,1,1,1,1,1,1,1,1,11523.0,92.2,5.3,1274.0,10.2,7.2,1199317,125032,232.6,42.1,2.2,767.7,6.1,3794.1,30.35
38,1,1,1,1,1,1,1,1,8529.0,126.6,8.3,1733.0,25.7,4.9,927072,67356,226.3,33.2,3.9,582.6,8.6,3071.2,45.6
39,1,1,1,1,1,1,1,1,10292.0,90.7,5.7,1360.0,12.0,6.5,926558,113509,230.7,42.2,2.4,777.4,6.8,3830.5,33.75
40,1,1,1,1,1,1,1,0,4904.0,143.8,4.4,680.0,19.9,8.4,351801,34101,56.2,27.6,2.5,269.7,7.9,1498.2,43.94
41,1,1,1,1,1,0,1,1,4235.0,102.7,5.0,815.0,19.8,7.2,443543,41255,82.3,22.3,2.5,283.4,6.9,1404.5,34.04
42,1,1,1,1,1,0,1,1,4949.0,100.6,6.2,621.0,12.6,8.7,536111,49205,100.5,21.5,2.5,309.4,6.3,1814.3,36.87
