,GI Index '14,GI Index Rank '14,Maternal mortality ratio '13,Adolescent birth rate '10/'15,Share female parliament members '14,Share female secondary education,Share male secondary education,Female labor participation '13,Male labor participation '13
0,0.524,116.0,6.0,9.5,0.0,66.7,59.0,50.8,95.5
1,0.6659999999999999,148.0,120.0,18.1,0.0,87.5,88.3,53.5,74.6
2,0.7440000000000001,155.0,270.0,47.0,0.7,8.6,26.7,25.4,72.2
3,0.387,79.0,14.0,14.5,1.5,55.6,56.3,43.6,83.1
4,0.573,131.0,45.0,43.0,2.2,43.9,60.6,23.7,74.8
5,0.611,140.0,220.0,62.1,2.7,7.6,14.5,70.5,74.0
6,0.515,114.0,23.0,31.6,3.1,62.2,67.6,16.6,73.6
7,0.385,78.0,16.0,12.0,3.1,53.0,55.4,23.3,70.9
8,0.603,138.0,380.0,42.0,3.5,22.4,35.2,60.9,71.0
9,0.413,85.0,200.0,12.1,4.7,22.9,15.3,75.2,82.3
10,0.37,72.0,29.0,16.9,5.8,72.7,76.4,35.1,76.3
11,0.243,49.0,31.0,4.2,5.9,27.3,32.7,56.2,77.5
12,0.38,76.0,26.0,41.0,6.1,35.7,40.8,64.3,80.7
13,0.457,97.0,58.0,28.3,6.1,64.3,60.0,23.5,58.4
14,0.6729999999999999,149.0,730.0,135.3,8.2,12.8,32.4,70.7,73.2
15,0.457,97.0,120.0,40.9,8.3,34.0,34.5,66.7,77.2
16,0.614,142.0,340.0,90.2,8.4,11.3,27.0,67.6,78.3
17,0.679,151.0,720.0,130.3,9.2,14.0,30.1,52.4,81.4
18,0.622,143.0,430.0,115.8,9.4,17.4,31.5,72.2,82.9
19,0.48,106.0,170.0,44.2,9.5,73.6,77.9,71.9,81.6
20,0.677,150.0,550.0,175.6,9.5,7.7,15.1,50.8,81.4
21,0.275,53.0,11.0,10.6,9.6,47.2,57.1,29.0,82.6
22,0.457,97.0,69.0,70.8,9.6,54.6,52.4,59.4,80.8
23,0.209,42.0,14.0,12.1,10.1,97.9,98.7,44.8,60.0
24,0.6509999999999999,146.0,640.0,117.4,10.7,15.4,39.3,58.2,64.8
25,0.318,62.0,29.0,27.1,10.7,94.0,95.0,54.2,72.6
26,0.5539999999999999,127.0,380.0,58.4,10.9,45.2,64.7,67.3,71.4
27,0.525,117.0,120.0,35.8,11.0,20.7,30.2,26.5,75.8
28,0.382,77.0,41.0,46.8,11.3,89.7,92.7,56.5,75.1
29,0.313,61.0,14.0,58.3,11.5,54.4,50.3,55.6,76.8
30,0.593,137.0,410.0,126.7,11.5,39.7,47.0,68.5,73.0
31,0.473,102.0,50.0,26.5,11.6,69.5,78.5,15.6,66.6
32,0.133,26.0,6.0,5.4,11.6,87.0,85.8,48.8,70.4
33,0.419,88.0,73.0,30.9,11.6,49.4,58.0,43.6,74.2
34,0.46299999999999997,100.0,130.0,35.2,11.8,44.6,47.1,40.5,68.8
35,0.28600000000000003,57.0,23.0,25.7,11.8,91.7,95.9,53.2,66.9
36,0.33299999999999996,64.0,33.0,31.0,12.0,86.1,92.0,48.7,64.9
37,0.563,130.0,190.0,32.8,12.2,27.0,56.6,27.0,79.9
38,0.65,145.0,1100.0,100.7,12.4,10.0,21.7,65.7,69.0
39,0.5329999999999999,119.0,49.0,41.6,12.4,29.5,40.5,13.5,72.7
40,0.124,22.0,10.0,5.5,12.5,76.0,81.7,56.0,71.1
41,0.655,147.0,880.0,98.3,12.5,10.1,26.7,72.6,85.1
42,0.5870000000000001,132.0,280.0,125.4,12.7,25.8,44.0,73.1,85.6
43,0.22699999999999998,46.0,9.0,18.2,13.0,68.6,78.2,37.9,66.3
44,0.713,154.0,630.0,204.8,13.3,2.4,7.8,40.0,89.7
45,0.5329999999999999,119.0,140.0,97.2,13.3,21.9,23.2,49.3,88.2
46,0.426,90.0,45.0,71.4,13.3,76.4,75.8,49.2,82.3
47,0.631,144.0,400.0,115.4,13.3,0.9,3.2,77.1,90.0
48,0.418,87.0,59.0,42.8,14.0,64.2,64.5,37.5,72.0
49,0.209,42.0,29.0,5.7,14.2,65.1,71.3,44.4,75.5
50,0.359,71.0,20.0,30.9,14.4,39.0,60.0,29.4,70.8
51,0.276,54.0,24.0,25.7,14.5,89.6,92.5,57.1,71.7
52,0.557,128.0,310.0,72.0,14.7,21.9,26.0,43.9,71.6
53,0.325,63.0,68.0,18.7,14.9,85.3,84.1,56.6,69.3
54,0.706,153.0,980.0,152.0,14.9,1.7,9.9,64.0,79.2
55,0.265,51.0,22.0,13.8,15.0,56.7,51.4,39.2,86.9
56,0.35700000000000004,69.0,44.0,42.8,15.2,95.1,91.2,58.9,77.1
57,0.303,59.0,26.0,40.0,15.6,93.7,97.4,62.9,69.6
58,0.33799999999999997,65.0,22.0,55.3,15.8,73.3,76.4,49.2,74.8
59,0.134,27.0,15.0,2.5,16.0,55.5,41.9,30.0,76.4
60,0.514,113.0,240.0,103.0,16.2,53.9,36.1,56.2,65.4
61,0.125,23.0,27.0,2.2,16.3,77.0,89.1,50.1,72.1
62,0.298,58.0,37.0,28.5,16.7,91.2,87.6,69.3,79.3
63,0.43,93.0,80.0,70.1,16.7,74.0,70.2,56.1,70.9
64,0.611,140.0,510.0,144.8,16.7,11.1,21.6,84.6,81.5
65,0.47200000000000003,101.0,110.0,67.0,16.8,36.8,43.0,55.7,84.8
66,0.47600000000000003,103.0,110.0,83.2,17.0,56.6,50.8,51.1,79.2
67,0.494,110.0,190.0,48.3,17.1,39.9,49.2,51.4,84.2
68,0.171,37.0,7.0,15.2,17.3,84.2,94.7,43.0,57.3
69,0.23199999999999998,47.0,8.0,27.6,17.5,73.1,61.2,46.5,92.0
70,0.588,134.0,450.0,91.5,17.6,16.1,40.3,80.6,81.3
71,0.16699999999999998,36.0,13.0,13.5,18.0,98.9,99.0,54.9,67.6
72,0.16399999999999998,33.0,7.0,15.9,18.7,99.1,99.5,51.1,68.6
73,0.091,15.0,5.0,4.9,18.9,99.9,99.7,51.1,68.3
74,0.47700000000000004,104.0,170.0,44.3,19.0,9.9,22.9,78.8,86.5
75,0.47700000000000004,104.0,100.0,99.6,19.1,55.6,53.1,51.3,78.6
76,0.45399999999999996,96.0,85.0,78.5,19.3,54.0,49.9,49.0,81.8
77,0.201,41.0,8.0,15.1,19.3,44.9,69.8,34.1,57.3
78,0.28,55.0,28.0,31.0,19.4,95.1,94.8,56.3,68.9
79,0.35700000000000004,69.0,52.0,48.4,19.6,89.5,87.7,65.9,76.6
80,0.536,121.0,170.0,27.3,19.7,19.3,46.1,24.6,82.9
81,0.16399999999999998,33.0,11.0,16.8,19.8,100.0,100.0,56.2,68.9
82,0.284,56.0,16.0,10.2,19.9,60.5,70.3,20.2,78.3
83,0.113,21.0,9.0,8.2,19.9,80.5,78.6,53.1,68.1
84,0.503,111.0,170.0,80.6,20.0,34.1,41.3,57.4,84.1
85,0.267,52.0,26.0,29.9,20.1,95.3,98.8,67.7,77.9
86,0.212,44.0,5.0,35.9,20.4,93.0,95.7,47.9,59.0
87,0.217,45.0,21.0,15.3,20.7,81.8,87.9,44.9,65.5
88,0.248,50.0,21.0,29.3,20.8,93.6,96.6,37.6,44.2
89,0.552,126.0,400.0,93.6,20.8,25.3,31.4,62.2,72.4
90,0.429,92.0,83.0,68.5,20.9,56.9,55.6,55.8,79.7
91,0.146,29.0,5.0,11.9,21.0,59.5,67.0,44.2,62.5
92,0.138,28.0,3.0,12.2,22.1,79.4,85.5,48.9,64.9
93,0.61,139.0,320.0,73.3,22.2,8.3,20.9,28.7,79.1
94,0.406,82.0,89.0,50.7,22.3,56.3,66.1,68.2,84.4
95,0.10099999999999999,18.0,2.0,7.8,22.5,84.4,87.3,57.9,69.1
96,0.353,67.0,75.0,29.3,23.3,94.5,96.8,56.0,79.5
97,0.125,23.0,11.0,10.6,23.4,89.1,94.3,55.8,67.3
98,0.177,39.0,8.0,25.8,23.5,99.8,99.9,55.7,68.7
99,0.191,40.0,32.0,8.6,23.6,58.7,71.9,63.9,78.3
100,0.591,135.0,360.0,84.0,23.8,12.1,18.2,31.3,76.0
101,0.308,60.0,49.0,29.0,24.3,59.4,71.2,73.0,82.2
102,0.371,73.0,84.0,34.8,24.7,59.7,60.9,53.0,75.5
103,0.08800000000000001,13.0,6.0,6.0,25.3,74.1,81.0,58.8,77.2
104,0.5579999999999999,129.0,420.0,78.4,25.5,7.8,18.2,78.2,89.3
105,0.08800000000000001,13.0,12.0,5.7,25.7,78.0,83.2,50.7,61.6
106,0.413,85.0,89.0,10.0,25.7,26.7,31.0,15.2,72.2
107,0.48,106.0,120.0,84.0,25.8,28.0,25.8,42.8,82.9
108,0.149,30.0,13.0,12.7,25.8,85.0,93.6,44.7,58.4
109,0.539,123.0,67.0,68.7,26.5,27.8,50.2,14.9,69.8
110,0.541,124.0,490.0,89.4,26.8,21.9,19.0,59.0,73.5
111,0.42,89.0,120.0,46.8,27.1,65.9,63.7,51.1,79.7
112,0.5870000000000001,132.0,590.0,115.8,27.1,21.3,34.9,63.8,76.8
113,0.42700000000000005,91.0,69.0,76.0,27.4,36.8,43.6,47.8,79.0
114,0.693,152.0,400.0,86.8,27.6,5.9,29.8,15.8,79.5
115,0.016,1.0,7.0,0.6,27.7,95.8,98.0,52.3,63.2
116,0.129,25.0,11.0,14.5,28.2,100.0,100.0,61.6,71.0
117,0.1,17.0,11.0,8.3,28.3,100.0,100.0,50.7,64.6
118,0.027999999999999997,2.0,6.0,1.9,28.5,95.0,96.6,61.8,74.9
119,0.489,108.0,190.0,73.7,29.5,17.7,38.2,79.9,87.1
120,0.068,10.0,4.0,4.0,30.1,71.2,80.5,39.6,59.5
121,0.151,31.0,1.0,20.6,30.1,87.0,92.2,50.1,63.1
122,0.053,5.0,4.0,4.1,30.3,100.0,100.0,54.6,67.7
123,0.11,19.0,6.0,12.1,30.5,94.3,94.6,58.8,71.8
124,0.111,20.0,8.0,12.6,31.3,47.7,48.2,54.9,66.2
125,0.24,48.0,46.0,4.6,31.3,32.8,46.1,25.1,70.9
126,0.515,114.0,250.0,88.5,31.3,60.3,47.8,42.6,80.5
127,0.449,95.0,100.0,100.8,39.1,39.4,38.3,47.4,80.3
128,0.591,135.0,480.0,137.8,39.6,1.4,6.2,85.5,82.8
129,0.067,9.0,4.0,7.8,39.6,97.4,96.7,61.2,68.7
130,0.40700000000000003,83.0,140.0,50.9,40.7,72.7,75.9,44.5,60.5
131,0.087,12.0,4.0,11.5,41.3,91.0,91.6,70.5,77.4
132,0.40700000000000003,83.0,87.0,77.0,41.6,40.1,39.4,54.7,82.7
133,0.063,8.0,6.0,6.7,42.4,77.5,82.9,47.5,59.3
134,0.075,11.0,4.0,9.2,42.5,100.0,100.0,55.7,64.0
135,0.528,118.0,320.0,94.4,42.7,7.2,15.4,66.0,88.0
136,0.055,6.0,4.0,6.5,43.6,86.5,87.3,60.3,67.9
137,0.35600000000000004,68.0,80.0,43.1,48.9,74.3,78.8,43.4,70.0
138,0.444,94.0,200.0,71.9,51.8,47.6,59.1,64.2,80.9
139,0.4,80.0,320.0,33.6,57.5,8.0,8.8,86.4,85.3
