,wdflu97,wdflu94,walk97,walk94,vol97,vol94,vis97,vis94,univex97,univex94,shop97,shop94,sex97,sex94,selfim97,selfim94,remar97,remar94,read97,read94,rdpapr97,rdpapr94
0,28,28,5,6,0,2,4,2,0,0,4,2,2,2,0,0,0,0,10,15,1,0
1,39,28,0,3,0,0,10,5,0,0,3,2,1,1,0,0,0,0,4,10,2,0
2,31,39,1.5,8,0,0,0,0,0,0,2,5,2,2,0,0,0,0,1,0,1,1
3,23,28,14,0,0,0,1,0,1,0,0,2,1,1,0,0,0,0,5,20,1,1
4,21,29,3,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,3,0,1,1
5,27,36,2,2,8,10,1,2,0,0,2,4,1,1,4,4,0,0,8,8,1,1
6,45,39,5,0,2,6,2,4,1,1,2,4,1,1,6,6,0,0,6,20,1,1
7,50,53,1,1,1,2,1,1,1,1,1,1,2,2,2,0,0,0,5,1,1,1
8,18,33,0,0,0,0,10,1,1,0,0,0,2,2,0,0,0,0,20,40,1,1
9,34,34,5,5,0,0,0,0,1,1,4,6,2,2,0,0,0,0,12,28,1,1
10,32,37,2,2,6,0,2,2,0,1,1,1,1,1,0,2,0,0,5,12,1,1
11,23,24,0,0,0,0,0,0,0,0,2,2,1,1,3.5,0,0,0,0,10,1,1
12,23,21,6,0,3,0,2,2,0,0,2,0,2,2,0,0,0,0,7,14,1,0
13,40,52,1.5,9,0,0,.5,0,0,1,.25,5,1,1,0,0,0,0,.25,12,1,1
14,44,52,6,4,1,2,1,4,1,0,2,1,1,1,20,0,0,0,2,15,1,1
15,28,28,0,8,4,0,4,2,0,0,3,8,2,2,0,0,0,0,5,8,1,1
16,22,34,7,7,0,0,2,7,0,0,8,2,2,2,0,0,0,0,7,7,1,1
17,30,29,2,2,0,0,3,4,0,0,5,2,2,2,0,3,0,0,4,4,1,1
18,57,53,2,0,20,0,1,3,1,1,1,2,1,1,2,0,0,1,5,6,3,1
19,33,32,2,1,0,0,0,4,0,1,2,0,1,1,4,2,1,0,1,15,0,1
20,50,44,2,0,2,12,4,3,0,0,5,5,2,2,0,0,0,0,12,7,1,1
21,42,50,5,3,0,3,2,3,1,0,1,1,2,2,8,0,0,0,10,14,1,1
22,11,17,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,10,10,1,1
23,23,27,0,0,0,3,3,2,1,1,0,0,1,1,0,0,0,0,30,14,1,1
24,45,40,0,0,0,0,6,3,0,0,4,5,2,2,0,0,0,0,0,0,1,0
25,34,34,0,5,0,1,0,0,0,0,3,1,1,1,0,0,0,0,0,7,1,1
26,29,29,2,3,0,0,4,1,0,0,6,1,1,1,2,0,0,0,5,2,1,1
27,37,41,0,1,0,0,0,1,1,1,4,3,2,2,8,0,0,0,56,40,1,0
28,48,35,1,1,7,0,1,1,1,1,5,2,2,2,0,0,1,0,20,6,1,0
29,51,55,3,2,0,2,8,2,0,0,5,4,2,2,0,0,0,0,7,15,1,1
30,45,45,3,7,0,0,2,3,1,1,2,3,2,2,0,0,0,0,2,14,1,1
31,31,28,0,1,0,0,15,2,1,0,3,2,1,1,0,2,0,1,25,3,0,1
32,27,17,0,7,0,2,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,1
33,30,47,0,1,1,4,1,4,0,0,1,3,1,1,0,0,0,0,3,8,1,1
34,39,36,8,6,8,5,6,3,1,1,2,3,1,1,4,4,0,0,14,7,1,1
35,11,23,6,10,0,0,20,3,0,0,6,2,2,2,2,0,0,0,12,5,1,1
36,35,33,0,2,4,0,2,1,1,1,4,1,1,1,0,0,0,0,5,6,1,1
37,44,55,3,4,0,1,0,0,0,1,2,1,2,2,0,0,0,0,1,1,1,1
38,11,24,5,7,0,2,4,10,1,0,3,8,2,2,0,7,0,0,15.5,20,0,0
39,29,36,0,3,0,0,0,2,0,0,2,3,2,2,0,0,0,1,3,18,1,1
40,29,42,4,2,0,0,0,3,0,1,3,4,1,1,1,3,0,0,14,14,1,1
41,44,41,1,3,2,0,2,2,1,1,2,2,1,1,0,0,1,0,10,10,1,1
42,47,52,3,20,2,2,3,12,1,1,3,3,2,2,4,2,0,0,3,15,1,1
43,28,34,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,7,7,1,1
44,30,36,3,2,0,0,4,8,0,0,3,4,1,1,0,0,0,0,3,6,0,0
45,44,38,0,4,0,0,4,6,0,0,4,4,1,1,0,0,0,0,4,10,1,1
46,29,18,7,3,0,0,5,0,0,0,7,3,1,1,0,0,0,0,5,10,1,1
47,32,34,0,0,0,0,2,0,0,0,0,4,2,2,4,0,0,0,14,10,1,1
48,27,25,1,3,0,0,1,2,1,1,1,0,1,1,0,0,0,0,5,4,1,1
49,24,20,4,12,0,0,1,6,1,1,2,1,1,1,0,14,0,0,4,16,1,1
50,41,43,3,6,10,6,2,0,0,0,3,4,2,2,0,0,0,0,4,12,1,1
51,55,63,0,2,10,2,1,3,1,1,0,2,2,2,0,0,0,0,1,4,1,1
52,54,46,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,12,8,0,1
53,30,34,0,3,0,6,10,3,0,0,4,2,1,1,3,0,0,0,2,6,1,1
54,38,48,0,3,0,0,2,2,0,0,5,6,2,2,0,0,0,0,8,10,1,1
55,30,43,2,2,0,0,3,1,1,1,1,2,1,1,3,3,0,0,14,14,1,1
56,54,44,14,5,0,2,0,0,0,0,3,3,1,1,7,0,0,0,0,3,1,1
57,32,39,0,2,0,0,2,4,0,0,3,3,2,2,0,0,0,0,4,7,1,1
58,23,19,2,5,2,2,2,3,1,1,2,4,2,2,10,7,0,0,2,3,1,1
59,40,36,0,4,0,0,0,0,1,1,16,2,1,1,8,12,0,0,12,16,1,1
60,18,21,2,2,0,0,0,2,0,0,4,4,1,1,7,0,0,0,2,0,0,0
61,27,16,0,0,3,0,2,1,1,1,4,3,1,1,1,3,0,0,2,5,1,1
62,38,39,3,2,0,0,2,3,1,1,2,6,1,1,0,0,0,0,12,15,1,1
63,16,23,0,7,0,0,1,0,0,0,5,15,1,1,10,0,0,0,0,10,1,1
64,48,50,8,8,5,8,1,0,1,1,2,2,2,2,0,0,0,0,10,20,1,1
65,18,23,8,3,4,12,4,3,1,0,8,5,2,2,0,2,0,0,20,6,1,1
66,24,17,0,1,0,1,1,1,1,1,2,2,1,1,7,5,0,0,5,5,1,1
67,53,49,1,2,2,0,1,2,0,0,1,2,2,2,0,0,0,0,10,7,1,1
68,60,48,1,1,2,6,2,2,1,1,2,2,2,2,2,0,0,0,4,5,0,0
69,46,52,3,5,0,0,1,1,1,1,2,3,2,2,0,0,0,0,3,4,1,1
70,52,53,0,3,4,0,25,2,1,1,6,2,2,2,0,0,0,0,6,5,1,1
71,32,37,0,0,8,6,1,4,1,1,2,2,1,1,2,4,0,0,4,14,1,1
72,38,30,2,1,0,0,1,3,0,0,2,1,1,1,0,0,0,1,2,1,1,1
73,49,50,0,0,6,2,2,1,1,0,2,2,1,1,0,0,0,1,4,10,1,1
74,46,46,3,2,20,1,4,2,1,1,2,2,2,2,0,0,0,0,4,4,1,1
75,40,23,0,0,6,1,3,0,1,1,3,3,1,1,0,0,0,0,5,10,0,0
76,61,60,0,0,0,0,3,1,0,1,0,2,2,2,1,1,0,0,10,5,1,1
77,65,57,0,1,0,0,1,2,0,1,2,2,2,2,1,1,0,0,14,10,1,1
78,48,41,0,0,6,2,4,8,1,0,2,3,2,2,0,0,0,0,16,10,1,1
79,34,36,1,2,0,0,1,1,1,1,4,3,2,2,2,0,1,0,8,18,1,1
80,45,54,0,1,2,0,1,1,0,1,5,5,2,2,4,10,0,0,2,10,0,0
81,22,27,0,0,0,1,1,1,0,0,4,2,2,2,0,6,0,0,4,6,1,1
82,34,46,5,0,0,0,5,0,0,0,5,10,2,2,0,0,0,1,10,2,1,1
83,65,65,1,4,2,1,2,2,1,1,1,2,1,1,5,0,0,0,7,14,1,1
84,54,39,3,0,0,3,1,0,0,0,1,0,2,2,0,0,0,0,1,3,1,1
85,75,74,0,0,2,1,1,1,1,1,1,1,2,2,0,6,0,0,7,3,0,0
86,33,42,3,1,0,0,2,5,0,0,3,5,1,1,0,0,1,0,3,3,0,0
87,35,43,2,4,0,0,1,2,0,0,3,4,2,2,0,0,0,1,2,0,1,1
88,53,53,10,5,0,0,1,2,1,1,2,2,1,1,0,0,0,0,5,1,1,1
89,37,34,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1
90,26,38,0,6,0,0,0,0,0,0,2,0,1,1,0,2,0,1,10,14,1,1
91,38,45,1,3,10,5,1,0,0,0,1,0,2,2,0,0,0,1,3,14,1,1
