,Q1A,Q2A,Q3A,Q4A,Q5A,Q6A,Q7A,Q8A,Q9A,Q10A,Q11A,Q12A,Q13A,Q14A,Q15A,Q16A,Q17A,Q18A,Q19A,Q20A,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize
0,3.0,3.0,5.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,1.0,5.0,4.0,1.0,5.0,2.0,4.0,4.0,4.0,4.0,6,5,6,1,7,3,7,4,7,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,2,3,1,1,26,1,7,1,30,1,2,5
1,5.0,5.0,1.0,3.0,5.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,5.0,2.0,5.0,1.0,2.0,4.0,5.0,3.0,2,5,6,2,4,6,5,4,6,5,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,1,1,18,1,1,1,60,2,1,2
2,5.0,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,3.0,1,7,6,7,5,7,1,4,1,4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2,1,15,1,2,2,10,2,1,2
3,2.0,4.0,2.0,1.0,5.0,1.0,3.0,2.0,4.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,5.0,3.0,4.0,6,5,5,7,7,2,6,2,2,3,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,4,3,2,2,31,1,6,1,60,1,3,2
4,5.0,5.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,4.0,5.0,1.0,2,5,5,6,7,6,5,3,4,5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,1,2,20,1,4,3,60,1,1,2
5,4.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,1.0,5.0,1.0,1.0,5.0,4.0,2.0,2,4,6,2,3,7,5,2,7,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,2,17,1,1,1,70,2,1,3
6,4.0,4.0,3.0,2.0,5.0,4.0,1.0,5.0,4.0,2.0,2.0,5.0,1.0,3.0,4.0,2.0,1.0,4.0,5.0,4.0,3,5,6,2,6,7,5,3,6,4,1,1,0,1,1,0,1,0,0,1,0,0,1,1,1,1,4,3,1,1,37,1,1,1,10,2,1,1
7,5.0,5.0,3.0,1.0,4.0,1.0,1.0,3.0,5.0,5.0,1.0,4.0,3.0,1.0,4.0,2.0,1.0,5.0,5.0,5.0,3,6,3,6,7,4,5,5,3,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,3,1,2,18,1,2,1,10,2,1,2
8,5.0,5.0,1.0,1.0,5.0,2.0,1.0,2.0,3.0,4.0,1.0,5.0,4.0,1.0,4.0,1.0,2.0,5.0,5.0,5.0,2,5,5,2,1,6,3,1,7,4,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,3,1,1,1,26,2,4,1,60,2,1,3
9,4.0,4.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,3.0,1.0,5.0,2.0,1.0,5.0,2.0,4.0,2.0,5.0,4.0,3,6,6,1,5,6,6,2,7,4,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,3,1,1,2,21,1,1,1,60,1,1,3
